2026-05-06 00:00:34.478 | INFO     | Backtest   | [回测 4/5] 模拟第 3051/4821 笔交易: 日上集团...
2026-05-06 00:00:34.693 | INFO     | Backtest   | [回测 4/5] 模拟第 3061/4821 笔交易: 家联科技...
2026-05-06 00:00:34.963 | INFO     | Backtest   | [回测 4/5] 模拟第 3071/4821 笔交易: 杭钢股份...
2026-05-06 00:00:35.214 | INFO     | Backtest   | [回测 4/5] 模拟第 3081/4821 笔交易: 方大炭素...
2026-05-06 00:00:35.425 | INFO     | Backtest   | [回测 4/5] 模拟第 3091/4821 笔交易: 宏昌电子...
2026-05-06 00:00:35.641 | INFO     | Backtest   | [回测 4/5] 模拟第 3101/4821 笔交易: 垒知集团...
2026-05-06 00:00:35.842 | INFO     | Backtest   | [回测 4/5] 模拟第 3111/4821 笔交易: 鼎信通讯...
2026-05-06 00:00:36.110 | INFO     | Backtest   | [回测 4/5] 模拟第 3121/4821 笔交易: 新华制药...
2026-05-06 00:00:36.400 | INFO     | Backtest   | [回测 4/5] 模拟第 3131/4821 笔交易: 新奥股份...
2026-05-06 00:00:36.657 | INFO     | Backtest   | [回测 4/5] 模拟第 3141/4821 笔交易: 健康元...
2026-05-06 00:00:36.942 | INFO     | Backtest   | [回测 4/5] 模拟第 3151/4821 笔交易: 华自科技...
2026-05-06 00:00:37.181 | INFO     | Backtest   | [回测 4/5] 模拟第 3161/4821 笔交易: 三友化工...
2026-05-06 00:00:37.391 | INFO     | Backtest   | [回测 4/5] 模拟第 3171/4821 笔交易: 科达制造...
2026-05-06 00:00:37.635 | INFO     | Backtest   | [回测 4/5] 模拟第 3181/4821 笔交易: 澄星股份...
2026-05-06 00:00:37.875 | INFO     | Backtest   | [回测 4/5] 模拟第 3191/4821 笔交易: 倍杰特...
2026-05-06 00:00:38.046 | INFO     | Backtest   | [回测 4/5] 模拟第 3201/4821 笔交易: 思美传媒...
2026-05-06 00:00:38.279 | INFO     | Backtest   | [回测 4/5] 模拟第 3211/4821 笔交易: 广钢气体...
2026-05-06 00:00:38.482 | INFO     | Backtest   | [回测 4/5] 模拟第 3221/4821 笔交易: 中闽能源...
2026-05-06 00:00:38.622 | INFO     | Backtest   | [回测 4/5] 模拟第 3231/4821 笔交易: 阳光乳业...
2026-05-06 00:00:38.846 | INFO     | Backtest   | [回测 4/5] 模拟第 3241/4821 笔交易: 比依股份...
2026-05-06 00:00:39.074 | INFO     | Backtest   | [回测 4/5] 模拟第 3251/4821 笔交易: 雪迪龙...
2026-05-06 00:00:39.245 | INFO     | Backtest   | [回测 4/5] 模拟第 3261/4821 笔交易: 新疆交建...
2026-05-06 00:00:39.471 | INFO     | Backtest   | [回测 4/5] 模拟第 3271/4821 笔交易: 领益智造...
2026-05-06 00:00:39.710 | INFO     | Backtest   | [回测 4/5] 模拟第 3281/4821 笔交易: 上海九百...
2026-05-06 00:00:39.909 | INFO     | Backtest   | [回测 4/5] 模拟第 3291/4821 笔交易: 永新股份...
2026-05-06 00:00:40.183 | INFO     | Backtest   | [回测 4/5] 模拟第 3301/4821 笔交易: 威星智能...
2026-05-06 00:00:40.418 | INFO     | Backtest   | [回测 4/5] 模拟第 3311/4821 笔交易: 三角轮胎...
2026-05-06 00:00:40.632 | INFO     | Backtest   | [回测 4/5] 模拟第 3321/4821 笔交易: 中威电子...
2026-05-06 00:00:40.876 | INFO     | Backtest   | [回测 4/5] 模拟第 3331/4821 笔交易: 万里扬...
2026-05-06 00:00:41.115 | INFO     | Backtest   | [回测 4/5] 模拟第 3341/4821 笔交易: 中国一重...
2026-05-06 00:00:41.313 | INFO     | Backtest   | [回测 4/5] 模拟第 3351/4821 笔交易: 永信至诚...
2026-05-06 00:00:41.528 | INFO     | Backtest   | [回测 4/5] 模拟第 3361/4821 笔交易: 新大洲A...
2026-05-06 00:00:41.751 | INFO     | Backtest   | [回测 4/5] 模拟第 3371/4821 笔交易: 鼎信通讯...
2026-05-06 00:00:41.927 | INFO     | Backtest   | [回测 4/5] 模拟第 3381/4821 笔交易: 苏试试验...
2026-05-06 00:00:42.095 | INFO     | Backtest   | [回测 4/5] 模拟第 3391/4821 笔交易: 抚顺特钢...
