2026-05-17 00:01:42.757 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250627...
2026-05-17 00:01:43.550 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250626...
2026-05-17 00:01:44.375 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250625...
2026-05-17 00:01:45.147 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250624...
2026-05-17 00:01:45.949 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250623...
2026-05-17 00:01:46.720 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250620...
2026-05-17 00:01:47.501 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250619...
2026-05-17 00:01:48.329 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250618...
2026-05-17 00:01:49.089 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250617...
2026-05-17 00:01:49.896 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250616...
2026-05-17 00:01:50.670 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250613...
2026-05-17 00:01:51.427 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250612...
2026-05-17 00:01:52.222 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250611...
2026-05-17 00:01:53.016 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250610...
2026-05-17 00:01:53.800 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250609...
2026-05-17 00:01:54.574 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250606...
2026-05-17 00:01:55.411 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250605...
2026-05-17 00:01:56.204 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250604...
2026-05-17 00:01:56.992 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250603...
2026-05-17 00:01:57.782 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250530...
2026-05-17 00:01:58.573 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250529...
2026-05-17 00:01:59.350 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250528...
2026-05-17 00:02:00.149 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250527...
2026-05-17 00:02:00.904 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250526...
2026-05-17 00:02:01.684 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250523...
2026-05-17 00:02:02.485 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250522...
2026-05-17 00:02:03.232 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250521...
2026-05-17 00:02:04.022 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250520...
2026-05-17 00:02:04.845 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250519...
2026-05-17 00:02:05.614 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250516...
2026-05-17 00:02:06.398 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250515...
2026-05-17 00:02:07.185 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250514...
2026-05-17 00:02:07.971 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250513...
2026-05-17 00:02:08.810 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250512...
2026-05-17 00:02:09.590 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250509...
2026-05-17 00:02:10.392 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250508...
2026-05-17 00:02:11.195 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250507...
2026-05-17 00:02:11.976 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250506...
2026-05-17 00:02:12.787 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250430...
